DoctorID,Doctor
1,Patrick Parker
2,Diane Jackson
3,Paul Baker
4,Brian Chandler
5,Dustin Griffin
6,Robin Green
7,Patricia Bishop
8,Brian Kennedy
9,Kristin Dunn
10,Jessica Bailey
11,Anthony Roberts
12,William Miller
13,Laura Roberts
14,James Carney
15,Katherine Lowe
16,Curtis Smith
17,Clayton Mcknight
18,Debra Meyers
19,Megan Sanders
20,Zachary Horton DDS
21,Kelly Thompson
22,Michael Chang
23,Nicole Wood
24,Angela Kim
25,Jodi Holland
26,Christina Flores
27,Natalie Sullivan
28,Carolyn Baker MD
29,Nicole Mcclain
30,Chloe Thomas
31,Brian Watson
32,Dr. Kyle Dickson
33,Michael Smith
34,Pamela Brown
35,Tiffany Crawford
36,Rachel Sullivan
37,Samuel Taylor
38,John Harvey
39,Sylvia Johnson
40,Janice Vargas
41,Mark Hill
42,Amber Gonzalez
43,Wendy Galloway
44,Michael Harris
45,Emily West
46,Cody Wright
47,Melissa Kelley
48,Larry Guzman
49,Kelsey Clark
50,Corey Sutton
51,Ashley Edwards
52,Leon Price
53,Kyle Estrada
54,Jared Harmon
55,Adrian Pierce
56,Jesus Snyder
57,Sara Watts
58,Stacy Brewer
59,Nicholas Aguirre
60,Miranda Robinson
61,Tina Rogers
62,Dennis Mitchell
63,Robin Rodriguez
64,Sergio Conner
65,Mr. John Short
66,Gina Maddox
67,Heather Warner
68,Amber Hayes
69,Karen Nelson
70,Brenda Bates DVM
71,Gabriella White
72,Sean Thomas
73,Aaron Burnett
74,Caleb Rasmussen
75,Christopher Castaneda
76,Angela Mcdonald
77,Julia Gibson
78,Denise Jones
79,Sandra Hogan
80,Kathryn Garcia
81,Adrian Terry
82,Joseph Santiago
83,Kristin Nash
84,Donald Nelson
85,Nathan Colon
86,John Chavez MD
87,Stephen West
88,Eric Sellers
89,Raymond Moore Jr.
90,Briana Olson
91,Sherri Jones
92,Bethany Graham
93,Angelica Gross
94,Carrie Ho
95,David Williams
96,Stacy Salazar
97,Mitchell Bradshaw
98,Jennifer Barry
99,Catherine Russell
100,William Martinez
101,Amanda Young
102,Angela Cruz DDS
103,Marcus Reed
104,Denise Richards
105,Andrea Nguyen
106,Ian Hunter
107,Thomas Smith
108,Wesley Thompson
109,Eduardo Ross
110,Rita Payne
111,Sherry Sharp
112,Diana Hunt
113,Christina Gonzalez
114,Rodney Obrien
115,Shannon Pineda
116,Laurie Gonzalez
117,Sydney Brown
118,Jonathan Phillips
119,Brandon Ray
120,Deborah Johnson
121,Matthew Williams
122,Tim Bradshaw
123,Charles Medina
124,Kathleen Cummings MD
125,Judy Carlson
126,William Wolf
127,Carl Rivera
128,Jennifer Vasquez
129,Rachel Wheeler
130,David Stephenson
131,Stephanie Parker
132,Kelly Sanchez
133,Sierra Graves
134,Ryan Wilkins
135,Nicole Holland
136,Victoria Stafford
137,Timothy Miller
138,Angela Wright
139,Jillian Marshall
140,Zachary Potter
141,Gabrielle Pitts
142,Jason Mcintosh
143,Jessica Smith
144,Spencer Bentley
145,Bruce Matthews
146,Jason Ryan
147,Mark Fischer
148,Katherine George
149,Nicholas Glover
150,Christopher Wallace
151,Adam Rasmussen
152,Richard Harris
153,Erika Long
154,Nathan Hawkins
155,Christopher Sullivan
156,Laura Johnson
157,Tammy Williamson
158,Kara Frey
159,Dr. Jessica Harris MD
160,Jeffery Maxwell
161,Stephanie Clark
162,Jenna Ward
163,Vicki Merritt
164,Kevin Davis
165,Emily Jensen
166,Michael Pacheco
167,Jason Little
168,Mark Nichols
169,Joseph Navarro
170,Allison Bond
171,Douglas Holmes
172,Shannon Hall
173,Charles Mora
174,Kevin Morris
175,Heather Anderson
176,Joshua Larson
177,Alyssa Acevedo
178,Kelly Scott MD
179,Ashley Taylor
180,William Meza
181,Jessica Powell MD
182,Theresa Garcia
183,Stephanie Bennett
184,Michelle Harris
185,Lee Evans
186,Michael Sutton
187,James Nichols
188,Terry Bean
189,Jose Cross
190,Dennis Morris
191,David Davis
192,Shane Browning
193,Kara Barton
194,Bonnie Weaver
195,Christopher Barton
196,Andrew Mendez
197,Jonathan Rodriguez
198,Geoffrey Diaz
199,Austin Alvarado
200,Russell Soto
201,Anna Meyers
202,Susan Pennington
203,Wanda Warren
204,Brenda Burton
205,Christopher Garcia
206,Zachary Rogers
207,Jennifer Merritt
208,Colleen Velazquez
209,Austin Fernandez
210,Christina Barnes
211,Brian Walsh
212,Latoya Knapp
213,Terry Berger
214,Michelle Perez
215,Amber Jennings
216,Tony Hawkins
217,Chris Cobb DVM
218,Aaron Taylor
219,Gregory Schroeder
220,Monica Mueller
221,Ann Butler
222,Sheri Ramirez
223,Richard Shaw
224,Samuel Sutton
225,Kimberly Palmer
226,Alex Sutton
227,Tina Jordan
228,Jose Love MD
229,Meredith Johnson DDS
230,John Thompson
231,Mark Barnes
232,Philip Torres
233,William Hart
234,Joshua Wilson
